,ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID,geometry
0,13203,860Z200US13203,13203,13203,Z5,4402887,0,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((406116.7750415114 4767811.814107583, 406257.8425140759 4767906.620975582, 406336.0443955089 4767770.818406261, 406434.8759242453 4767826.777454912, 406357.740548924 4767963.230682077, 406456.1605005253 4768019.084538262, 406498.6060073985 4767948.528331657, 406549.6951586667 4767973.931271235, 406562.5879493813 4767951.873814515, 406610.4863382076 4767982.207991624, 406585.5407840974 4768028.199483541, 406630.4731337389 4768050.132885831, 406604.5450200334 4768101.691332192, 406703.3701849228 4768026.478482389, 406789.5581097237 4768200.906484182, 406774.4550385043 4768299.74422478, 406813.7679147027 4768369.62735997, 406846.138412463 4768426.165688349, 406850.0608452368 4768433.109722856, 406901.6385028381 4768434.961311308, 406933.0638184889 4768553.713049905, 406977.0570942514 4768776.145808659, 406948.4694450644 4768823.740651551, 406937.0598261484 4768823.118582441, 406957.9833487059 4769055.862080156, 407019.0775182197 4769176.875853292, 406965.749115548 4769177.602038341, 406981.2002863119 4769247.811105089, 406999.1809489141 4769426.058628233, 407641.0630845845 4769442.228114811, 407639.3478636224 4769490.012064567, 407713.3374032219 4769493.898987286, 407999.9259792814 4769509.136592977, 408294.0917980826 4769524.839785886, 408411.3478995921 4769530.930171663, 408561.8147266303 4769444.944172161, 408572.1767794914 4769136.250062238, 408577.3060261179 4768971.907385299, 408578.6952978771 4768929.681815529, 408537.6726034911 4768925.121719168, 408544.4270359493 4768711.886070675, 408585.813529018 4768713.109245869, 408587.8635278139 4768647.216748903, 408591.1266203842 4768562.425973387, 408494.3685298787 4768482.750618454, 408554.347379568 4768193.607474238, 408609.5250875172 4768093.127572084, 408617.0282361545 4767911.204318585, 408617.9158059414 4767892.310415763, 408566.7361206698 4767889.99616609, 408572.648182814 4767735.306525986, 408623.2589807917 4767737.628459794, 408626.9896047211 4767608.514381101, 408637.0574136833 4767344.142589816, 408205.9678851512 4767177.648425579, 408169.4354271938 4767168.587101731, 408033.9487639873 4767148.527931975, 407865.4830410784 4767147.464782349, 407447.6869251828 4767152.998715014, 407060.4525405241 4767165.695381369, 406986.1205772688 4767162.485887348, 406700.6162400385 4767132.722752566, 406690.5807010597 4767131.526898185, 406546.8355801028 4767163.258101613, 406339.3413957022 4767244.737265581, 406228.2289238039 4767404.538224043, 406174.9576675252 4767487.573628853, 406175.5365154524 4767506.00360959, 406068.7679818064 4767738.277802183, 406116.7750415114 4767811.814107583))"
1,13244,860Z200US13244,13244,13244,Z5,1872962,0,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"MULTIPOLYGON (((408016.4361296826 4764520.275870494, 408131.1704115071 4764453.53561485, 408266.4121154998 4764244.796616882, 408594.0513147097 4764272.732260917, 408614.0807840746 4763856.618259112, 408717.9106680684 4763863.118113537, 408793.2681488937 4763867.333373883, 408797.2968198116 4763808.856869703, 409257.8635818122 4763836.164790231, 409306.0849213676 4763019.979520902, 409047.7931783273 4763022.480375323, 408879.3244984281 4763022.611171535, 408756.4266743556 4763017.362355388, 408673.3478820146 4763021.580516968, 408628.2896575499 4763028.735103974, 408483.7149729826 4763017.671794325, 408371.5279702841 4763885.29751642, 408039.727570689 4764082.789622933, 408016.4361296826 4764520.275870494)), ((407177.8508822019 4765619.210898487, 407279.3526310837 4765624.053753254, 407300.9327031496 4765821.578610353, 407416.9069061041 4765818.452251737, 407419.4392600219 4765897.167278674, 407415.7035639121 4766060.492222072, 407772.1430872698 4765934.496345619, 407841.2069809507 4766168.479822944, 408060.9570106292 4766164.743583694, 408079.7882591567 4765802.066732477, 407823.3857052659 4765807.40676099, 407844.1518299797 4765462.141156337, 407965.8852387491 4765462.723077871, 407979.6142729522 4765205.409849958, 407988.9120356689 4765030.459674664, 407742.9850248923 4765180.274975111, 407667.2681461064 4765178.631146538, 407664.519512968 4765379.373099067, 407364.3981744257 4765376.434667913, 407192.3942871836 4765268.029129172, 407187.8183264038 4765423.146326306, 407177.8508822019 4765619.210898487)), ((407965.8852387491 4765462.723077871, 407960.5842905167 4765547.097048858, 408091.4778295707 4765586.765792949, 408098.2047022107 4765468.940553895, 407965.8852387491 4765462.723077871)))"
2,13205,860Z200US13205,13205,13205,Z5,9384631,0,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((405601.5918177675 4764890.27851674, 405854.0306926456 4765014.642312904, 405892.6678674065 4765163.723930473, 405926.5045118943 4765135.712649857, 405988.2588725555 4764986.916209437, 406000.8623108474 4764949.42295601, 406063.06339034 4765010.879425867, 406265.8632901544 4765497.588602775, 406363.1012413906 4765387.184276887, 406376.4947582022 4765234.722054542, 406409.6141408205 4765124.419178885, 406886.3871035951 4765276.076368391, 406897.6209036816 4765149.635580284, 407003.1378276634 4764742.124331979, 407094.7720944787 4764373.456537249, 407105.5667244747 4764262.239100031, 407097.5196192585 4764119.733452661, 407066.2368013901 4763682.539482211, 407119.8937746673 4763642.825054638, 407307.58051071 4762890.442517065, 407372.7193045688 4762765.050606383, 407454.8955244571 4762669.751225073, 407647.1849383962 4762549.530407417, 408378.6587299527 4762340.15308728, 408378.6318942826 4762340.107320399, 408359.0792354553 4762298.273583468, 408347.1732867919 4762273.553338343, 408313.1176742003 4762201.813990915, 408167.597140133 4761896.767433299, 408186.7286049786 4761542.309048422, 408191.8220113803 4761447.94247505, 408194.1696731427 4761404.14949437, 408204.7141850821 4761235.95954553, 408235.8834080336 4760757.275614842, 408271.0502940675 4760150.475601253, 408273.0250708322 4760116.081436871, 407876.6102661859 4760099.456946258, 407561.3758827328 4760087.376625559, 407566.333340436 4760063.975060974, 407441.9448767206 4760059.111619106, 407444.6894329505 4759737.194040914, 407380.6070319157 4759738.060147895, 407279.3733779919 4759753.424405533, 407067.4315740346 4759740.857592387, 406885.8586913358 4759736.881136305, 406874.3991240539 4759793.682669022, 406764.956787624 4759798.947723608, 406495.6316343226 4759782.181684384, 406276.2323996566 4759761.077623175, 406240.818282381 4759758.453343478, 406410.6020753084 4760332.808050605, 406387.9123079852 4760629.454165188, 406461.1166309285 4761332.752191653, 406383.6133715244 4761615.042336099, 406337.6041333197 4761839.256988725, 406337.1759506109 4762516.905865903, 406284.2416722977 4762615.706058049, 405995.7063094 4762860.02075188, 405950.6319137042 4762901.514207289, 405723.0792777369 4763145.336568356, 405717.7281411321 4763313.016881173, 405957.4006157722 4763530.417289192, 405945.6653714853 4763607.550968934, 405873.0957198031 4763889.33721489, 405909.8555820191 4764043.776084456, 405914.8910375855 4764155.111407438, 405630.4952478607 4764504.68331353, 405649.8992959294 4764576.278942106, 405666.3552716137 4764635.030977116, 405690.2034742992 4764662.581077058, 405668.7042358205 4764693.089019209, 405686.6146851066 4764709.613838711, 405689.0820517293 4764734.904137691, 405664.0870746874 4764836.879353146, 405646.6881369146 4764833.787207281, 405637.374779452 4764861.572530968, 405609.1762277072 4764849.4105443, 405601.5918177675 4764890.27851674))"
3,13204,860Z200US13204,13204,13204,Z5,11023686,1328420,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((403442.64018828 4769477.285534477, 403443.4410270515 4769478.069853675, 404062.3139994357 4770092.469384815, 404210.1441239301 4769892.683542669, 404254.9699936995 4769802.752026243, 404148.5367929023 4769454.031256473, 404089.814133008 4769053.10396699, 404502.7575979654 4768708.323541849, 404888.2930396431 4769193.8862886, 405144.9573307518 4768887.977277956, 405549.4997234771 4768620.351864499, 405861.015552017 4768248.625181408, 406013.1085662562 4767961.187130681, 406068.7679818064 4767738.277802183, 406059.4661382192 4767719.301297686, 405965.2947833468 4767540.659958563, 405955.3232354741 4767490.814795341, 405954.6516581872 4767471.608588633, 405922.4435134947 4767475.050848589, 405822.727672163 4767485.643291011, 405679.1359157892 4767226.715368276, 405717.404803656 4767095.677709999, 405606.4303370551 4767064.110014699, 405613.2967623965 4766877.08096143, 405609.4321603883 4766709.304539317, 405631.0689734001 4766535.844610475, 405663.8579589148 4766290.811704692, 405711.3344882217 4766112.219641474, 405717.7426658705 4766092.471554031, 405596.5818012722 4766085.479883098, 405664.230131855 4765910.385495484, 405659.027880676 4765905.347971964, 405830.1744470585 4765720.053484365, 405841.1224272135 4765497.426154317, 405792.5036392574 4765451.778912288, 405815.4304746172 4765193.776907111, 405595.9378587826 4765183.141518903, 405596.2689732767 4765165.809761297, 405163.0144490543 4765129.152597385, 405111.7226765511 4765161.519573824, 404991.2393506075 4765157.638742115, 404922.428272799 4765154.707532218, 404900.6573552722 4765065.708325311, 404737.020481219 4765128.631099163, 404736.3182387846 4765148.411718228, 404695.1532246805 4765147.208109644, 404515.6320340862 4765140.160034554, 404474.3008574133 4765138.737927455, 404476.4828963435 4765084.94848504, 404458.3414492072 4765081.203299781, 404412.6890539401 4765079.619778963, 404376.7676102414 4765074.679399979, 404375.1714161602 4765135.34718713, 404261.1210946172 4765131.278165803, 404202.7586697053 4765129.762924097, 404113.838492934 4765093.24445323, 404114.4964080605 4765076.241150103, 403998.0136233907 4765090.537541787, 403877.0415012382 4765069.466892605, 403627.5303129029 4765062.981814738, 403386.7714490487 4765058.936846663, 403327.1252181221 4765012.795924827, 403311.9453342952 4765057.217485268, 403215.6955500286 4765418.677182858, 403215.0356506584 4765544.754290496, 403167.250822579 4765547.763336602, 403226.5508287539 4765633.005372134, 403221.4923099451 4765655.954984071, 403223.6976497299 4765655.926780386, 403214.0668744234 4765695.049702448, 403204.8409596778 4765731.499237496, 403097.7868352557 4766217.185009269, 403096.8526906215 4766231.748828344, 402883.7372613201 4766226.664579235, 402882.0116236105 4766230.181599466, 402747.9704783858 4766516.052304417, 402682.5188771803 4766645.27353623, 402731.8619877783 4766677.89323926, 402723.8940686876 4766701.887403201, 402639.6245910549 4766876.69495776, 402633.3099331333 4766876.039926995, 402632.8385718033 4766892.119760315, 402626.9964730005 4766987.545718033, 402629.2554994878 4766995.135917732, 402626.2721005907 4767000.805185707, 402624.9122713401 4767027.631253529, 402596.5616346012 4767057.26313826, 402564.0608773995 4767119.023401753, 402515.1729183909 4767215.243811395, 402506.9326890924 4767231.467024287, 402441.7426933404 4767355.355792889, 402393.0606938034 4767488.561816293, 402356.5928423846 4767552.950170073, 402355.6949101802 4767554.770826834, 402364.2220765767 4767556.728743874, 402300.6764441513 4767698.367407296, 402292.8648432778 4767703.477072832, 402288.931085457 4767731.413186757, 402288.9435529924 4767732.586365199, 402299.306742584 4767733.597379974, 402291.4387697715 4767910.628400257, 402299.6671285519 4768140.455643511, 402297.3610272541 4768145.78514869, 402482.2110984107 4768119.076323896, 402503.900594585 4768132.206714879, 402428.4973562631 4768281.677714125, 402348.3842843496 4768431.883445178, 402337.0112013288 4768456.704423451, 402330.924582399 4768481.00554866, 402328.1755822488 4768516.58850211, 402329.1756040421 4768529.569853, 402329.890065655 4768539.667364926, 402331.7587757043 4768550.748040303, 402333.7089061248 4768561.827552186, 402338.2139935678 4768583.238454674, 402356.8128394354 4768582.823478272, 402391.0976843582 4768582.666747555, 402482.9930475664 4768647.443297205, 402619.0403096295 4768701.70592387, 402638.0991328635 4768707.543319905, 402678.0127450339 4768719.525903018, 402726.5136345617 4768734.052199637, 402878.3322655639 4768889.727755089, 403442.64018828 4769477.285534477))"
4,13088,860Z200US13088,13088,13088,Z5,21578630,4739489,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"MULTIPOLYGON (((405382.1722138714 4771032.055537348, 405062.1294212753 4770539.225391198, 404986.5630912083 4770444.332548173, 405011.5865644359 4770481.948327945, 405248.248042523 4770867.637003489, 405382.1722138714 4771032.055537348)), ((404794.9258509157 4770203.683008298, 404650.0968392405 4770021.813164175, 404594.752995618 4770052.687004789, 404570.4433631165 4770066.910840738, 404276.7008836564 4770231.856486522, 404248.4744714279 4770262.797416655, 404165.9172757112 4770187.648300505, 404062.3139994357 4770092.469384815, 403443.4410270515 4769478.069853675, 403443.4176517427 4769478.095029945, 403736.413479678 4769783.162478233, 404055.3501772021 4770101.008806305, 404070.4411106079 4770114.569871403, 404080.2296337004 4770127.427939731, 404088.1036543866 4770137.313933006, 404093.2301129501 4770148.682479781, 404101.548252921 4770167.003823535, 404125.5898485944 4770191.768780114, 404135.2624540518 4770202.184936804, 404138.0723450555 4770205.144466454, 404140.2216338719 4770207.446831575, 404143.1609257741 4770300.818244349, 404143.7971331087 4770317.137094679, 404162.5339859154 4770346.86387145, 404183.6551260409 4770372.44752179, 404344.3400748441 4770294.220306957, 404415.2608447652 4770259.571907177, 404533.2512710011 4770202.162430047, 404554.1406081553 4770193.762054622, 404680.6956735594 4770143.12201413, 404794.9258509157 4770203.683008298)))"
5,13202,860Z200US13202,13202,13202,Z5,2602753,0,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((405606.4303370551 4767064.110014699, 405717.404803656 4767095.677709999, 405679.1359157892 4767226.715368276, 405822.727672163 4767485.643291011, 405922.4435134947 4767475.050848589, 405954.6516581872 4767471.608588633, 405955.3232354741 4767490.814795341, 405965.2947833468 4767540.659958563, 406059.4661382192 4767719.301297686, 406068.7679818064 4767738.277802183, 406175.5365154524 4767506.00360959, 406174.9576675252 4767487.573628853, 406228.2289238039 4767404.538224043, 406339.3413957022 4767244.737265581, 406546.8355801028 4767163.258101613, 406690.5807010597 4767131.526898185, 406700.6162400385 4767132.722752566, 406814.8398406286 4767044.639741364, 406924.6340701871 4766840.438377754, 406935.9552802297 4766714.662512382, 406937.939968991 4766375.756892553, 406936.8136830471 4766191.282839889, 406940.9801460082 4765934.762651729, 406953.6349925952 4765834.959559917, 406961.3601764344 4765720.117917037, 406951.0947062687 4765588.416148997, 406909.2838923754 4765413.826040165, 406886.3871035951 4765276.076368391, 406409.6141408205 4765124.419178885, 406376.4947582022 4765234.722054542, 406363.1012413906 4765387.184276887, 406265.8632901544 4765497.588602775, 406063.06339034 4765010.879425867, 406000.8623108474 4764949.42295601, 405988.2588725555 4764986.916209437, 405926.5045118943 4765135.712649857, 405892.6678674065 4765163.723930473, 405815.4304746172 4765193.776907111, 405792.5036392574 4765451.778912288, 405841.1224272135 4765497.426154317, 405830.1744470585 4765720.053484365, 405659.027880676 4765905.347971964, 405664.230131855 4765910.385495484, 405596.5818012722 4766085.479883098, 405717.7426658705 4766092.471554031, 405711.3344882217 4766112.219641474, 405663.8579589148 4766290.811704692, 405631.0689734001 4766535.844610475, 405609.4321603883 4766709.304539317, 405613.2967623965 4766877.08096143, 405606.4303370551 4767064.110014699))"
6,13210,860Z200US13210,13210,13210,Z5,9754162,7491,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((406700.6162400385 4767132.722752566, 406986.1205772688 4767162.485887348, 407060.4525405241 4767165.695381369, 407447.6869251828 4767152.998715014, 407865.4830410784 4767147.464782349, 408033.9487639873 4767148.527931975, 408169.4354271938 4767168.587101731, 408205.9678851512 4767177.648425579, 408637.0574136833 4767344.142589816, 409150.1059482331 4767501.465147577, 409153.2711219169 4767439.334686293, 409159.9904816541 4767295.298086448, 409173.1372411835 4767205.822747236, 409191.1590555359 4767084.738696314, 409208.988623206 4766771.283498722, 409295.2145413229 4766768.250536253, 409352.2862596287 4766679.859021477, 409314.6386949728 4766421.009439188, 409326.004846616 4766418.081913299, 409384.0216998376 4765915.164653109, 409332.8038425926 4765855.754747182, 409355.1955202252 4765817.916171947, 409334.7378153903 4765761.985964648, 409343.2256954208 4765535.734829855, 409353.8258488373 4765536.37179237, 409393.0406564575 4765538.295599357, 409423.8228824753 4765051.179338541, 409432.3976228235 4764849.585041283, 409433.4752525433 4764826.357173645, 409439.9034059504 4764672.856976845, 409439.7545218939 4764672.886597286, 409449.6771052912 4764486.824396837, 409453.1471977028 4764435.019948774, 409457.0014185283 4764350.66698727, 409459.8329058862 4764287.541897392, 409463.9851630596 4764188.745957276, 409468.3549678994 4764110.985334849, 409478.0015535196 4763905.443851339, 409483.9400897992 4763762.973999883, 409485.5901737672 4763752.178415878, 409486.0367821193 4763750.757540668, 409498.5765116821 4763509.35501194, 409482.5648034957 4763018.270792283, 409306.0849213676 4763019.979520902, 409257.8635818122 4763836.164790231, 408797.2968198116 4763808.856869703, 408793.2681488937 4763867.333373883, 408717.9106680684 4763863.118113537, 408614.0807840746 4763856.618259112, 408594.0513147097 4764272.732260917, 408266.4121154998 4764244.796616882, 408131.1704115071 4764453.53561485, 408016.4361296826 4764520.275870494, 408039.727570689 4764082.789622933, 408371.5279702841 4763885.29751642, 408483.7149729826 4763017.671794325, 408382.4696425435 4762986.038705894, 408340.8188702723 4762870.306143349, 408537.8604569086 4762617.096307552, 408503.6708228608 4762553.354899352, 408378.6587299527 4762340.15308728, 407647.1849383962 4762549.530407417, 407454.8955244571 4762669.751225073, 407372.7193045688 4762765.050606383, 407307.58051071 4762890.442517065, 407119.8937746673 4763642.825054638, 407066.2368013901 4763682.539482211, 407097.5196192585 4764119.733452661, 407105.5667244747 4764262.239100031, 407094.7720944787 4764373.456537249, 407003.1378276634 4764742.124331979, 406897.6209036816 4765149.635580284, 406886.3871035951 4765276.076368391, 406909.2838923754 4765413.826040165, 406951.0947062687 4765588.416148997, 406961.3601764344 4765720.117917037, 406953.6349925952 4765834.959559917, 406940.9801460082 4765934.762651729, 406936.8136830471 4766191.282839889, 406937.939968991 4766375.756892553, 406935.9552802297 4766714.662512382, 406924.6340701871 4766840.438377754, 406814.8398406286 4767044.639741364, 406700.6162400385 4767132.722752566), (407187.8183264038 4765423.146326306, 407192.3942871836 4765268.029129172, 407364.3981744257 4765376.434667913, 407664.519512968 4765379.373099067, 407667.2681461064 4765178.631146538, 407742.9850248923 4765180.274975111, 407988.9120356689 4765030.459674664, 407979.6142729522 4765205.409849958, 407965.8852387491 4765462.723077871, 407844.1518299797 4765462.141156337, 407823.3857052659 4765807.40676099, 408079.7882591567 4765802.066732477, 408060.9570106292 4766164.743583694, 407841.2069809507 4766168.479822944, 407772.1430872698 4765934.496345619, 407415.7035639121 4766060.492222072, 407419.4392600219 4765897.167278674, 407416.9069061041 4765818.452251737, 407300.9327031496 4765821.578610353, 407279.3526310837 4765624.053753254, 407177.8508822019 4765619.210898487, 407187.8183264038 4765423.146326306), (407965.8852387491 4765462.723077871, 408098.2047022107 4765468.940553895, 408091.4778295707 4765586.765792949, 407960.5842905167 4765547.097048858, 407965.8852387491 4765462.723077871))"
7,13290,860Z200US13290,13290,13290,Z5,679298,358,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"POLYGON ((404165.9172757112 4770187.648300505, 404469.4576155436 4769995.57002673, 404685.320676464 4769756.967635693, 404741.1348723695 4769572.807412416, 404812.6515270037 4769358.217107364, 404898.0905084109 4769207.411814653, 404888.2930396431 4769193.8862886, 404502.7575979654 4768708.323541849, 404089.814133008 4769053.10396699, 404148.5367929023 4769454.031256473, 404254.9699936995 4769802.752026243, 404210.1441239301 4769892.683542669, 404062.3139994357 4770092.469384815, 404165.9172757112 4770187.648300505))"
8,13215,860Z200US13215,13215,13215,Z5,86834693,17569,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"MULTIPOLYGON (((405079.3531340964 4761203.483687724, 405076.6296455774 4761196.351937588, 405075.6570523914 4761203.539394453, 405079.3531340964 4761203.483687724)), ((405360.7468319082 4762650.227451737, 405366.4778625594 4762648.99345989, 405482.8752906138 4762194.436430297, 405480.7942392199 4761937.446408854, 405466.2361514664 4761908.162495116, 405467.1848424658 4761931.858626309, 405361.0099865115 4762648.513708627, 405360.7468319082 4762650.227451737)), ((405092.733029576 4762076.545322467, 405000.3727110458 4762088.267173526, 405011.8600294802 4761818.259563212, 404987.4845672447 4762087.668545446, 405033.3288884073 4762089.920248584, 405049.4493835348 4762088.474841529, 405076.9216826897 4762082.651338326, 405092.733029576 4762076.545322467)), ((405448.9316213844 4761873.354052222, 405092.733029576 4762076.545322467, 405187.4586440382 4762029.582351712, 405255.3754194402 4761995.098490276, 405315.4715828464 4761960.945631664, 405368.177561337 4761928.783684664, 405407.9338498639 4761903.354280752, 405448.9316213844 4761873.354052222)), ((404594.6231151653 4762937.660921633, 404609.8448133199 4762569.915298454, 404599.5500386232 4762562.119644362, 404593.7824092409 4762908.521753835, 404594.6231151653 4762937.660921633)), ((403679.7990907254 4764131.965356003, 403763.5326902852 4764154.159761617, 403766.9300542921 4764129.501520874, 403676.2740267576 4764120.955382945, 403676.1925484679 4764120.956530182, 403679.7990907254 4764131.965356003)), ((403430.5289695615 4764312.039386963, 403431.2289313821 4764297.890119384, 403431.1916615231 4764297.905976212, 403430.5289695615 4764312.039386963)), ((402266.4775510491 4764593.241814741, 402479.9826804746 4764658.525464588, 402480.291258886 4764658.572444431, 402503.2190301687 4764628.897892751, 402513.663496397 4764515.072460421, 402602.9351649315 4764500.694128348, 402597.1700363487 4764685.268582034, 402597.1688611462 4764685.302766916, 402816.8615831822 4764742.567293465, 402882.0594607558 4764714.428358049, 403151.5216877176 4764500.235703137, 403199.8944291363 4764480.668614284, 403427.8094251156 4764370.039847113, 402725.5294615454 4764325.34257606, 402667.7041864832 4764001.276716744, 402387.4148657928 4764005.38124637, 402370.7354109334 4764047.271654112, 402246.9215979873 4764051.483298661, 402230.8532749263 4764027.721115796, 402132.4552549314 4764139.423730387, 402043.299763935 4764031.292618539, 401968.7054594771 4764012.478989558, 401971.8792642351 4764080.410357071, 401936.2364965082 4764197.770305208, 401961.7281644731 4764486.639897724, 401997.105498052 4764487.354750494, 402079.8368366263 4764488.613544494, 402120.9761180581 4764493.356267081, 402151.5888131635 4764542.679117311, 402263.1202618207 4764552.080818866, 402266.4775510491 4764593.241814741)), ((404610.4462326711 4762570.370719516, 404729.2365010558 4762671.176152691, 404682.8236314376 4762630.046029003, 404620.7221718347 4762578.152110518, 404610.4462326711 4762570.370719516)), ((404843.4461184375 4762768.094444985, 404869.2429052173 4762565.696574168, 404988.8846094866 4762702.638254743, 404955.2852601141 4762574.941928889, 404865.1782568889 4762554.756983289, 404843.4461184375 4762768.094444985)), ((404992.0271896992 4762706.23524643, 405009.2224003228 4762725.916853734, 405169.389964602 4762691.429955896, 404992.0271896992 4762706.23524643)))"
9,13208,860Z200US13208,13208,13208,Z5,10593797,0,36,067,000100,1,360670001001,Block Group 1,G5030,S,4842958,1284980,+43.0691355,-076.1730170,360670001001,"MULTIPOLYGON (((404248.4744714279 4770262.797416655, 404276.7008836564 4770231.856486522, 404570.4433631165 4770066.910840738, 404594.752995618 4770052.687004789, 404650.0968392405 4770021.813164175, 404794.9258509157 4770203.683008298, 404814.8121266342 4770214.226042159, 404854.9130892635 4770246.433661996, 404986.5630912083 4770444.332548173, 405062.1294212753 4770539.225391198, 405382.1722138714 4771032.055537348, 405616.1914201076 4770805.559581992, 405749.0071845495 4770677.990353874, 405774.8008377052 4770653.30939682, 405895.2443834038 4770537.35445465, 405960.9942942954 4770635.30303511, 406007.5287454906 4770591.343927217, 406075.6012793584 4770526.873628728, 406227.9706357993 4770772.692748307, 406275.609365557 4770826.908317829, 406380.8883225649 4770792.142017165, 406405.9183402115 4770836.338820768, 406598.9577326055 4770848.911834942, 406635.2901796714 4770838.640472839, 406739.5852668821 4770809.224669605, 406842.1081957215 4770733.406518287, 406876.4387383273 4770707.613692353, 406981.5694733064 4770512.248657985, 407013.3945785075 4770481.714616995, 407250.0498332755 4770653.767000367, 407289.4635821498 4770600.472495175, 407371.5563538806 4770524.384687675, 407435.3864674721 4770464.317701472, 407464.4443374393 4770445.708028151, 407464.8907323036 4770436.59409197, 407467.5484573087 4770362.362128006, 407472.2281337905 4770209.019694517, 407557.1720145345 4770228.750594621, 407642.0462771804 4770243.374182651, 408299.6069445179 4770275.052296334, 408329.0299174371 4769604.119854009, 408347.2430464189 4769603.775580469, 408348.5323069154 4769576.867789848, 408410.980349074 4769550.899526925, 408411.3478995921 4769530.930171663, 408294.0917980826 4769524.839785886, 407999.9259792814 4769509.136592977, 407713.3374032219 4769493.898987286, 407639.3478636224 4769490.012064567, 407641.0630845845 4769442.228114811, 406999.1809489141 4769426.058628233, 406981.2002863119 4769247.811105089, 406965.749115548 4769177.602038341, 407019.0775182197 4769176.875853292, 406957.9833487059 4769055.862080156, 406937.0598261484 4768823.118582441, 406948.4694450644 4768823.740651551, 406977.0570942514 4768776.145808659, 406933.0638184889 4768553.713049905, 406901.6385028381 4768434.961311308, 406850.0608452368 4768433.109722856, 406846.138412463 4768426.165688349, 406813.7679147027 4768369.62735997, 406774.4550385043 4768299.74422478, 406789.5581097237 4768200.906484182, 406703.3701849228 4768026.478482389, 406604.5450200334 4768101.691332192, 406630.4731337389 4768050.132885831, 406585.5407840974 4768028.199483541, 406610.4863382076 4767982.207991624, 406562.5879493813 4767951.873814515, 406549.6951586667 4767973.931271235, 406498.6060073985 4767948.528331657, 406456.1605005253 4768019.084538262, 406357.740548924 4767963.230682077, 406434.8759242453 4767826.777454912, 406336.0443955089 4767770.818406261, 406257.8425140759 4767906.620975582, 406116.7750415114 4767811.814107583, 406068.7679818064 4767738.277802183, 406013.1085662562 4767961.187130681, 405861.015552017 4768248.625181408, 405549.4997234771 4768620.351864499, 405144.9573307518 4768887.977277956, 404888.2930396431 4769193.8862886, 404898.0905084109 4769207.411814653, 404812.6515270037 4769358.217107364, 404741.1348723695 4769572.807412416, 404685.320676464 4769756.967635693, 404469.4576155436 4769995.57002673, 404165.9172757112 4770187.648300505, 404248.4744714279 4770262.797416655)), ((408411.3478995921 4769530.930171663, 408442.6167071963 4769537.743930091, 408452.5860122908 4769533.598315163, 408411.3478995921 4769530.930171663)))"
