,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,county
0,"Schoharie County, New York",22210,310,0,4,0,0,12,13,45,45,291,244,587,408,347,7100,1105,1535,2539,2674,2860,1652,257,182,31364,15620,767,539,729,15744,842,547,689,36,095
1,"Fulton County, New York",38600,641,0,14,1,0,46,7,60,41,382,812,939,1164,765,11485,2310,2500,5166,5414,3660,2732,352,109,53743,26847,1669,1038,597,26896,1487,1007,509,36,035
2,"Rensselaer County, New York",111082,867,0,0,7,36,93,33,385,336,905,1323,1719,2064,1460,27304,5010,6690,13182,16111,19164,10820,1951,1548,159431,78611,4434,2846,3290,80820,4424,2809,2207,36,083
3,"Franklin County, New York",35688,553,0,0,19,0,5,50,97,131,674,707,933,1051,482,10099,3322,2374,4161,4096,3367,2703,542,322,50692,27816,1699,846,795,22876,1247,888,494,36,033
4,"Queens County, New York",1646256,54258,543,1144,1543,3581,6187,15056,39122,9634,29175,33991,26559,24671,51017,392319,61786,61219,179174,128878,327893,143467,31670,15969,2298513,1114654,64038,37415,23081,1183859,60031,35778,21916,36,081
5,"Washington County, New York",44839,465,0,0,0,20,36,115,132,301,838,950,890,1174,587,14015,3096,3346,4896,4816,5191,3182,481,297,61828,32002,1769,1072,780,29826,1464,1109,535,36,115
6,"New York County, New York",1247071,23597,350,341,1394,1803,5163,7286,17648,6561,18098,16856,17836,18710,21518,127574,27474,27730,94156,49575,391234,229522,93826,43743,1632480,772144,30624,16718,15194,860336,28427,17122,19672,36,061
7,"Cayuga County, New York",55526,362,0,44,0,0,21,52,55,179,940,993,1725,1553,837,14677,3629,3417,7086,7512,7451,4100,560,282,77868,39982,2258,1538,999,37886,2098,1452,869,36,011
8,"Rockland County, New York",203509,3480,116,26,83,166,399,815,3078,802,1897,1759,2203,2340,6973,40051,5717,9678,24128,16723,45325,27752,6220,3335,323686,158667,12136,7721,4421,165019,12388,7342,4117,36,087
9,"Niagara County, New York",150607,1346,5,45,19,19,52,374,345,368,1015,1445,2727,2928,2401,42711,8798,11656,18216,20170,20459,12359,1640,1341,211704,103127,6819,4097,2714,108577,6126,3822,2436,36,063
