,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
0,ZCTA5 11804,3235,0,0,0,0,11,0,0,0,0,8,0,9,20,7,580,34,125,242,104,1067,765,242,21,4671,2351,102,138,125,2320,212,94,10,36,11804
1,ZCTA5 11930,739,2,0,0,2,0,3,0,0,23,0,4,0,7,15,181,0,4,61,96,181,90,54,16,882,432,22,18,0,450,4,0,0,36,11930
2,ZCTA5 11941,1370,5,0,0,0,0,0,6,16,0,0,0,0,0,5,300,16,81,166,197,264,274,40,0,1797,819,18,30,18,978,27,0,0,36,11941
3,ZCTA5 11962,267,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,17,9,170,18,15,0,324,162,9,16,0,162,4,0,0,36,11962
4,ZCTA5 11702,10626,100,4,0,0,0,0,0,21,45,0,48,13,51,105,1963,214,596,1036,856,3232,1800,350,192,14127,7083,354,265,140,7044,377,222,58,36,11702
5,ZCTA5 11710,24811,209,0,0,5,0,16,20,11,120,52,239,142,184,282,5242,517,964,2254,2209,6894,4147,907,397,34634,16827,1247,775,340,17807,1036,460,355,36,11710
6,ZCTA5 11530,18423,20,0,0,0,0,21,77,48,10,40,22,45,43,104,1988,191,521,1186,1148,6598,4079,1783,499,28460,13760,887,871,483,14700,925,653,652,36,11530
7,ZCTA5 11566,23136,194,18,0,0,6,9,34,157,8,63,57,109,183,194,3004,362,1111,2250,1699,6892,5015,1320,424,33331,16724,1174,823,301,16607,1218,660,262,36,11566
8,ZCTA5 11705,5206,60,0,0,0,0,0,0,6,0,24,9,35,36,47,862,99,229,720,661,1244,1028,104,42,7721,3917,190,228,72,3804,348,213,125,36,11705
9,ZCTA5 11709,4946,76,0,0,0,0,0,11,23,0,1,11,0,26,49,950,117,209,753,336,1145,949,221,67,6735,3417,167,193,152,3318,227,122,36,36,11709
10,ZCTA5 11714,16508,231,0,10,0,0,8,17,85,28,67,71,55,79,380,4503,284,742,1888,1200,4321,2070,306,153,22741,11114,797,282,160,11627,411,359,195,36,11714
11,ZCTA5 11722,20519,1278,0,7,96,20,156,173,315,162,219,487,392,343,1083,5765,800,1388,2487,1450,2381,1003,222,87,31878,16031,1308,690,603,15847,1208,636,489,36,11722
12,ZCTA5 11725,20857,196,14,0,35,9,1,0,0,0,50,32,29,99,209,4387,209,1083,2239,1909,5692,3595,651,413,29396,14526,976,723,291,14870,846,504,262,36,11725
13,ZCTA5 11727,20935,240,0,0,2,0,0,118,18,24,44,260,173,344,394,5558,533,1529,2733,2451,3573,2240,393,296,29736,14573,1253,656,200,15163,852,506,182,36,11727
14,ZCTA5 11730,9486,31,0,0,0,0,0,20,12,25,66,62,48,54,112,2428,299,715,900,1017,1975,1433,235,54,13663,6983,521,342,115,6680,381,199,189,36,11730
15,ZCTA5 11746,46249,1305,23,72,18,38,186,180,366,207,516,389,211,364,579,8461,837,2277,4186,3117,11632,6958,2989,1185,67863,34559,3012,1441,860,33304,1773,1699,531,36,11746
16,ZCTA5 11765,515,2,0,0,0,0,0,3,0,0,0,3,4,0,6,29,2,9,25,27,180,147,64,14,782,379,40,18,8,403,45,30,0,36,11765
17,ZCTA5 11767,10412,31,0,45,0,0,39,50,54,8,15,62,22,84,129,2294,154,460,1127,1027,2746,1683,265,117,14952,7336,514,354,139,7616,630,397,182,36,11767
18,ZCTA5 11769,6275,19,0,0,0,0,0,0,5,57,0,12,22,33,92,1363,121,548,730,590,1343,1141,109,90,8340,3915,249,145,97,4425,199,99,104,36,11769
19,ZCTA5 11901,20356,536,0,0,32,65,114,151,601,115,221,433,478,688,420,6489,703,1168,2141,1631,2404,1230,451,176,28387,14591,591,431,396,13796,670,426,159,36,11901
20,ZCTA5 11950,10288,146,0,0,0,7,0,137,108,5,66,46,145,344,332,3773,698,750,1135,1001,996,445,15,105,16444,7891,483,570,223,8553,785,369,222,36,11950
21,ZCTA5 11952,4053,10,4,0,0,0,0,21,45,23,20,0,0,5,39,1138,41,103,587,362,945,477,86,105,5010,2483,131,55,21,2527,21,64,55,36,11952
22,ZCTA5 11717,40760,2475,38,18,96,149,319,339,1300,699,666,2455,632,1182,1862,12056,1414,2206,4298,2476,3894,1367,280,103,63492,30891,2231,1189,889,32601,2543,1601,901,36,11717
23,ZCTA5 11718,2143,7,0,0,0,0,0,0,0,0,0,0,20,11,15,235,40,151,231,134,742,398,125,34,3075,1535,112,76,24,1540,105,78,33,36,11718
24,ZCTA5 11733,11399,116,0,0,0,0,0,0,30,0,42,22,51,81,132,1553,90,410,876,720,2917,2597,872,890,16363,8361,654,383,166,8002,636,398,123,36,11733
25,ZCTA5 11742,8915,64,0,0,8,0,9,0,21,21,33,54,63,147,190,2522,239,602,1217,924,1568,979,95,151,12438,6062,515,292,76,6376,346,218,100,36,11742
26,ZCTA5 11753,9010,91,0,0,0,0,15,11,0,42,18,9,7,30,114,711,87,160,521,454,3428,2059,985,267,12857,6255,428,352,126,6602,464,340,42,36,11753
27,ZCTA5 11756,30418,473,10,0,0,38,42,40,93,43,171,150,252,227,693,8353,630,1918,3411,3725,5941,3311,511,323,43446,21185,1240,806,604,22261,1307,670,809,36,11756
28,ZCTA5 11763,20123,212,0,0,0,0,59,148,182,55,201,132,248,243,330,6143,667,1341,2277,2619,3515,1463,164,124,28579,13525,750,476,412,15054,666,708,476,36,11763
29,ZCTA5 11766,8142,135,0,0,0,0,0,3,74,10,37,69,68,56,112,1480,136,565,829,1072,1769,1227,252,230,11720,5879,397,272,68,5841,303,279,161,36,11766
30,ZCTA5 11771,6821,67,0,0,0,0,0,0,2,8,57,56,44,27,46,1262,68,243,655,418,2093,1091,511,173,9150,4250,183,119,61,4900,281,271,74,36,11771
31,ZCTA5 11778,8200,78,0,0,0,35,0,37,18,0,23,66,138,96,87,1886,231,623,948,922,1608,1231,63,110,12081,6051,250,332,170,6030,460,288,118,36,11778
32,ZCTA5 11222,30410,365,0,0,40,0,19,62,254,194,340,402,216,326,333,4087,604,1275,2549,1369,11766,4934,877,327,36872,17959,355,235,118,18913,369,157,307,36,11222
33,ZCTA5 11233,52273,993,10,0,50,159,332,574,382,363,778,1075,1501,2008,1103,15054,2264,1295,6126,4054,9309,3796,474,322,79439,36706,2212,1426,826,42733,2433,1503,727,36,11233
34,ZCTA5 11235,59598,1516,22,117,20,66,118,455,629,267,850,539,632,539,1174,10816,1801,1507,4386,4573,16947,9245,2096,1052,78775,37786,2232,1004,625,40989,1751,1091,562,36,11235
35,ZCTA5 11426,14374,206,6,0,4,21,56,98,69,66,148,132,104,170,505,3306,720,576,1601,1008,3019,1813,540,206,20524,10145,765,319,194,10379,398,267,181,36,11426
36,ZCTA5 11427,17408,737,0,49,8,11,29,112,140,9,252,317,214,264,532,3731,699,578,2394,1485,3603,1679,376,160,24560,12261,718,511,312,12299,510,417,250,36,11427
37,ZCTA5 11042,506,7,0,0,0,0,0,0,0,29,21,15,8,45,15,202,8,23,8,16,22,28,36,7,506,205,0,0,0,301,0,0,0,36,11042
38,ZCTA5 11101,23265,415,0,12,0,0,54,128,92,101,429,132,247,395,446,4717,718,427,1752,1153,6929,3211,1469,438,31366,15644,647,303,240,15722,534,575,185,36,11101
39,ZCTA5 11205,27841,591,16,19,23,8,91,99,240,124,657,466,619,571,1018,4347,1012,832,2996,1331,7462,3965,920,343,46843,21565,1497,860,738,25278,1690,819,1077,36,11205
40,ZCTA5 11215,51920,763,17,0,50,31,35,109,297,80,230,435,172,413,496,3517,430,794,2509,1647,18919,13793,4975,2169,69873,33513,1886,914,235,36360,1588,1030,273,36,11215
41,ZCTA5 11219,48467,3069,41,30,23,119,276,661,2056,369,1227,2154,759,642,4178,14728,1411,1220,3496,1851,6222,2460,740,211,89371,44553,3635,1926,1101,44818,4125,2123,1043,36,11219
42,ZCTA5 11226,69053,1072,33,0,52,27,182,321,1023,501,850,870,793,1463,2241,20947,2776,1854,9556,3490,13267,5896,1201,413,99558,45832,2841,1946,852,53726,2888,1832,1070,36,11226
43,ZCTA5 11228,31968,1400,6,6,0,98,188,475,654,189,680,536,407,340,984,8091,774,1016,2268,2282,7195,3141,653,395,44348,21726,1274,787,540,22622,1199,810,409,36,11228
44,ZCTA5 11236,68962,1120,5,37,9,96,105,814,569,268,860,672,994,991,1761,16998,4476,2460,10723,6289,12782,5682,801,297,100844,43880,3006,2161,1105,56964,3339,1862,1163,36,11236
45,ZCTA5 14706,4404,68,0,0,0,0,0,0,0,0,7,66,39,44,125,1004,197,289,528,706,708,562,41,20,6163,2795,164,71,17,3368,272,167,49,36,14706
46,ZCTA5 14709,1025,1,0,1,0,0,0,0,2,0,23,16,11,21,19,375,65,62,111,129,103,65,14,7,1389,755,72,38,11,634,21,18,12,36,14709
47,ZCTA5 14710,2478,8,0,0,0,0,0,0,0,0,62,25,18,71,9,769,172,163,253,373,333,181,19,22,3443,1797,207,31,17,1646,53,52,36,36,14710
